Policy Number,Policy Effective Date,Policy Expiration Date,Agency ID,Underwriting Company ID,Cancel Date
1011362,11/19/2013,11/19/2014,13,1,NULL
1011964,2/10/2014,2/10/2015,2,2,6/7/2014
1012017,11/14/2013,11/14/2014,12,3,NULL
1012870,1/26/2014,1/26/2015,20,7,NULL
1013142,3/12/2014,3/12/2015,6,7,8/1/2014
1013326,5/17/2014,5/17/2015,5,1,7/25/2014
1014015,8/24/2013,8/24/2014,5,6,NULL
1014991,3/10/2014,3/10/2015,15,4,NULL
1015219,1/4/2014,1/4/2015,5,4,7/5/2014
1016117,12/28/2013,12/28/2014,19,7,NULL
1016310,12/30/2013,12/30/2014,4,1,NULL
1016539,9/1/2013,9/1/2014,14,1,NULL
1016695,2/14/2014,2/14/2015,2,3,NULL
1017223,3/20/2014,3/20/2015,11,7,NULL
1017317,12/16/2013,12/16/2014,6,5,NULL
1017773,7/7/2013,7/7/2014,17,1,NULL
1017857,11/5/2013,11/5/2014,7,5,NULL
1018096,9/9/2013,9/9/2014,19,5,7/7/2014
1018109,3/5/2014,3/5/2015,19,7,NULL
1018473,8/24/2013,8/24/2014,7,4,NULL
1018772,2/22/2014,2/22/2015,4,4,NULL
1018839,7/26/2013,7/26/2014,11,3,7/11/2014
1019127,6/24/2013,6/24/2014,12,1,NULL
1019226,11/6/2013,11/6/2014,8,3,NULL
1019397,12/5/2013,12/5/2014,6,2,NULL
1019405,12/20/2013,12/20/2014,20,7,NULL
1020036,7/5/2013,7/5/2014,11,6,NULL
1020371,4/18/2014,4/18/2015,11,1,NULL
1020403,5/11/2014,5/11/2015,16,3,NULL
1020510,1/4/2014,1/4/2015,5,6,NULL
1020795,12/7/2013,12/7/2014,13,1,NULL
1020831,6/18/2013,6/18/2014,15,7,NULL
1020853,8/15/2013,8/15/2014,7,5,NULL
1021260,3/6/2014,3/6/2015,10,1,NULL
1021930,3/20/2014,3/20/2015,14,1,NULL
1022056,5/12/2014,5/12/2015,18,2,NULL
1022072,1/24/2014,1/24/2015,7,3,NULL
1022481,10/30/2013,10/30/2014,11,3,NULL
1022832,3/6/2014,3/6/2015,4,4,NULL
1023153,9/2/2013,9/2/2014,15,7,NULL
1023523,2/24/2014,2/24/2015,17,1,6/7/2014
1023756,3/4/2014,3/4/2015,10,1,NULL
1023830,2/28/2014,2/28/2015,6,4,NULL
1023968,8/7/2013,8/7/2014,18,3,NULL
1024154,10/29/2013,10/29/2014,2,7,NULL
1024740,12/6/2013,12/6/2014,16,7,NULL
1024811,9/28/2013,9/28/2014,5,4,NULL
1024844,5/26/2014,5/26/2015,17,4,NULL
1025220,12/21/2013,12/21/2014,20,3,NULL
1025779,9/1/2013,9/1/2014,20,5,NULL
1026229,1/2/2014,1/2/2015,18,1,NULL
1026961,3/17/2014,3/17/2015,9,1,NULL
1027011,3/27/2014,3/27/2015,4,2,NULL
1027465,8/4/2013,8/4/2014,16,3,NULL
1027484,4/9/2014,4/9/2015,3,5,NULL
1027982,10/7/2013,10/7/2014,20,5,NULL
1027994,3/12/2014,3/12/2015,11,1,NULL
1028243,10/25/2013,10/25/2014,7,2,NULL
1028304,3/17/2014,3/17/2015,8,6,NULL
1028508,10/13/2013,10/13/2014,11,1,NULL
1028701,7/28/2013,7/28/2014,10,5,NULL
1029308,8/14/2013,8/14/2014,5,6,NULL
1029617,10/2/2013,10/2/2014,1,4,NULL
1029698,2/18/2014,2/18/2015,18,4,NULL
1029777,3/7/2014,3/7/2015,4,5,NULL
1000138,10/16/2013,10/16/2014,10,5,NULL
1000225,2/28/2014,2/28/2015,18,7,NULL
1000305,3/30/2014,3/30/2015,10,6,NULL
1000369,11/2/2013,11/2/2014,4,3,NULL
1000434,12/1/2013,12/1/2014,14,6,NULL
1000521,3/8/2014,3/8/2015,12,7,NULL
1000723,9/23/2013,9/23/2014,20,3,NULL
1000726,8/30/2013,8/30/2014,13,7,NULL
1000785,2/27/2014,2/27/2015,6,2,NULL
1000822,3/10/2014,3/10/2015,8,6,NULL
1000948,6/17/2013,6/17/2014,19,3,NULL
1001073,1/29/2014,1/29/2015,3,6,NULL
1001320,6/12/2013,6/12/2014,5,3,NULL
1001376,2/19/2014,2/19/2015,8,1,NULL
1001500,6/5/2013,6/5/2014,13,3,NULL
1001750,9/10/2013,9/10/2014,7,3,NULL
1001983,10/17/2013,10/17/2014,12,7,NULL
1002097,12/2/2013,12/2/2014,11,4,NULL
1002114,10/19/2013,10/19/2014,7,3,NULL
1002384,5/4/2014,5/4/2015,12,2,NULL
1002607,4/16/2014,4/16/2015,4,3,NULL
1002725,5/25/2014,5/25/2015,12,4,NULL
1003047,1/15/2014,1/15/2015,6,5,NULL
1003256,6/25/2013,6/25/2014,4,1,NULL
1003396,1/25/2014,1/25/2015,11,2,NULL
1003409,4/22/2014,4/22/2015,2,2,NULL
1003545,7/10/2013,7/10/2014,19,2,NULL
1003876,10/9/2013,10/9/2014,2,3,NULL
1004018,1/21/2014,1/21/2015,20,4,7/18/2014
1004039,8/23/2013,8/23/2014,16,3,NULL
1004129,4/14/2014,4/14/2015,14,6,5/31/2014
1004143,2/2/2014,2/2/2015,10,6,NULL
1004210,3/21/2014,3/21/2015,13,2,NULL
1004224,10/1/2013,10/1/2014,11,2,NULL
1004244,2/26/2014,2/26/2015,2,7,6/4/2014
1004354,12/28/2013,12/28/2014,18,2,8/14/2014
1004472,2/25/2014,2/25/2015,19,5,NULL
1004504,9/1/2013,9/1/2014,8,2,NULL
1004604,7/12/2013,7/12/2014,18,6,NULL
1004667,2/8/2014,2/8/2015,17,7,NULL
1004906,3/28/2014,3/28/2015,9,4,NULL
1004915,8/23/2013,8/23/2014,1,6,NULL
1004928,4/21/2014,4/21/2015,1,1,NULL
1005173,3/24/2014,3/24/2015,2,6,6/10/2014
1005275,5/16/2014,5/16/2015,4,6,NULL
1005317,4/6/2014,4/6/2015,13,1,NULL
1005416,6/23/2013,6/23/2014,4,1,NULL
1005512,1/27/2014,1/27/2015,15,2,5/17/2014
1005654,8/31/2013,8/31/2014,8,1,NULL
1005797,12/1/2013,12/1/2014,14,2,NULL
1005820,5/18/2014,5/18/2015,7,7,NULL
1005939,1/29/2014,1/29/2015,3,6,NULL
1005967,5/6/2014,5/6/2015,1,7,NULL
1005991,11/18/2013,11/18/2014,2,2,NULL
1006202,12/18/2013,12/18/2014,16,5,NULL
1006224,7/22/2013,7/22/2014,15,1,NULL
1006298,10/18/2013,10/18/2014,5,4,NULL
1006516,7/25/2013,7/25/2014,4,6,NULL
1006603,8/1/2013,8/1/2014,18,6,NULL
1006646,2/7/2014,2/7/2015,15,6,7/13/2014
1006828,4/27/2014,4/27/2015,1,2,NULL
1006893,10/6/2013,10/6/2014,14,7,NULL
1006999,3/14/2014,3/14/2015,19,5,NULL
1007232,12/10/2013,12/10/2014,11,3,NULL
1007310,11/11/2013,11/11/2014,9,6,7/26/2014
1007426,6/14/2013,6/14/2014,2,5,NULL
1007753,5/23/2014,5/23/2015,11,2,NULL
1007980,10/2/2013,10/2/2014,10,6,NULL
1008050,8/22/2013,8/22/2014,20,7,NULL
1008168,4/22/2014,4/22/2015,15,4,NULL
1008255,10/10/2013,10/10/2014,11,4,NULL
1008264,3/24/2014,3/24/2015,6,5,NULL
1008276,11/7/2013,11/7/2014,19,5,NULL
1008380,4/29/2014,4/29/2015,9,3,NULL
1008529,11/7/2013,11/7/2014,8,1,NULL
1008551,9/5/2013,9/5/2014,17,7,6/7/2014
1008552,4/30/2014,4/30/2015,19,5,NULL
1008612,12/22/2013,12/22/2014,11,5,NULL
1008690,9/22/2013,9/22/2014,18,2,NULL
1008697,9/1/2013,9/1/2014,9,5,NULL
1008760,5/7/2014,5/7/2015,2,1,NULL
1008762,7/15/2013,7/15/2014,18,7,NULL
1008894,3/10/2014,3/10/2015,7,5,NULL
1008927,1/16/2014,1/16/2015,18,2,NULL
1008943,4/14/2014,4/14/2015,4,5,NULL
1009075,1/3/2014,1/3/2015,2,3,NULL
1009161,1/11/2014,1/11/2015,4,1,NULL
1009252,4/30/2014,4/30/2015,7,1,NULL
1009291,12/19/2013,12/19/2014,11,7,NULL
1009670,4/9/2014,4/9/2015,19,4,NULL
1009745,4/15/2014,4/15/2015,18,3,NULL
1009762,4/6/2014,4/6/2015,15,6,NULL
1009951,3/19/2014,3/19/2015,9,2,NULL
1010002,7/1/2013,7/1/2014,14,4,NULL
1010065,1/27/2014,1/27/2015,11,2,NULL
1010091,11/8/2013,11/8/2014,7,3,NULL
1010232,3/20/2014,3/20/2015,16,7,NULL
1010238,8/7/2013,8/7/2014,14,6,NULL
1010246,9/1/2013,9/1/2014,9,5,NULL
1010264,12/4/2013,12/4/2014,12,4,NULL
1010399,9/27/2013,9/27/2014,16,4,NULL
1010409,9/25/2013,9/25/2014,1,2,NULL
1010416,9/25/2013,9/25/2014,11,7,NULL
1010520,4/30/2014,4/30/2015,13,6,NULL
1010526,8/11/2013,8/11/2014,5,7,8/16/2014
1011258,1/14/2014,1/14/2015,11,1,NULL
1011259,3/17/2014,3/17/2015,4,1,NULL
1011391,8/18/2013,8/18/2014,20,4,NULL
1011463,6/23/2013,6/23/2014,3,3,NULL
1011634,6/28/2013,6/28/2014,8,6,NULL
1012135,4/13/2014,4/13/2015,11,3,NULL
1012152,7/30/2013,7/30/2014,7,4,NULL
1012228,4/17/2014,4/17/2015,3,7,NULL
1012275,10/29/2013,10/29/2014,8,3,NULL
1012647,10/27/2013,10/27/2014,8,4,NULL
1012679,1/19/2014,1/19/2015,1,1,NULL
1012717,6/18/2013,6/18/2014,16,6,NULL
1012733,1/24/2014,1/24/2015,2,1,NULL
1012744,11/1/2013,11/1/2014,7,1,NULL
1012810,6/21/2013,6/21/2014,12,6,NULL
1012888,2/25/2014,2/25/2015,4,1,NULL
1013092,8/25/2013,8/25/2014,8,1,NULL
1013115,1/21/2014,1/21/2015,17,7,NULL
1013241,7/30/2013,7/30/2014,5,4,6/10/2014
1013317,1/3/2014,1/3/2015,12,2,NULL
1013371,7/18/2013,7/18/2014,4,1,NULL
1013444,5/4/2014,5/4/2015,2,6,NULL
1013454,5/18/2014,5/18/2015,20,2,NULL
1013756,9/5/2013,9/5/2014,13,6,NULL
1013802,8/16/2013,8/16/2014,19,5,NULL
1013813,12/21/2013,12/21/2014,6,4,NULL
1013857,12/14/2013,12/14/2014,4,4,NULL
1014039,5/6/2014,5/6/2015,19,6,8/7/2014
1014160,9/1/2013,9/1/2014,5,7,NULL
1014218,8/29/2013,8/29/2014,19,5,NULL
1014300,7/3/2013,7/3/2014,7,5,NULL
1014467,11/22/2013,11/22/2014,18,2,NULL
1014493,6/27/2013,6/27/2014,5,5,NULL
1014659,12/1/2013,12/1/2014,4,7,NULL
1014687,9/18/2013,9/18/2014,9,4,NULL
1014970,4/29/2014,4/29/2015,6,2,NULL
1015206,8/1/2013,8/1/2014,14,2,5/31/2014
1015325,2/12/2014,2/12/2015,13,5,NULL
1015387,1/10/2014,1/10/2015,16,6,NULL
1015392,4/29/2014,4/29/2015,9,3,NULL
1015548,8/28/2013,8/28/2014,5,2,NULL
1015612,1/1/2014,1/1/2015,12,1,NULL
1015815,2/17/2014,2/17/2015,7,3,NULL
1015865,7/5/2013,7/5/2014,8,2,5/17/2014
1015966,5/8/2014,5/8/2015,7,5,NULL
1016033,9/2/2013,9/2/2014,19,1,NULL
1016039,9/10/2013,9/10/2014,16,4,NULL
1016154,5/13/2014,5/13/2015,15,6,NULL
1016194,8/22/2013,8/22/2014,1,4,NULL
1016293,9/16/2013,9/16/2014,15,7,8/22/2014
1016311,4/26/2014,4/26/2015,8,4,NULL
1016341,9/2/2013,9/2/2014,8,7,NULL
1016432,4/19/2014,4/19/2015,13,7,6/18/2014
1016438,1/13/2014,1/13/2015,15,4,NULL
1016454,4/24/2014,4/24/2015,11,2,NULL
1016504,10/26/2013,10/26/2014,14,6,NULL
1016552,6/19/2013,6/19/2014,12,4,NULL
1016579,9/19/2013,9/19/2014,17,7,NULL
1016637,6/21/2013,6/21/2014,13,6,NULL
1016912,1/6/2014,1/6/2015,17,5,NULL
1016965,6/29/2013,6/29/2014,8,1,6/9/2014
1017036,3/5/2014,3/5/2015,10,4,NULL
1017274,10/14/2013,10/14/2014,9,3,NULL
1017375,5/20/2014,5/20/2015,13,4,NULL
1017500,12/23/2013,12/23/2014,6,1,8/26/2014
1017514,12/19/2013,12/19/2014,3,6,NULL
1017535,12/31/2013,12/31/2014,1,2,NULL
1017607,3/3/2014,3/3/2015,2,7,NULL
1017691,2/25/2014,2/25/2015,13,4,NULL
1017789,7/29/2013,7/29/2014,16,4,NULL
1017900,8/17/2013,8/17/2014,10,1,NULL
1017930,4/1/2014,4/1/2015,10,1,NULL
1017958,10/2/2013,10/2/2014,20,4,NULL
1017998,1/26/2014,1/26/2015,1,1,NULL
1018022,10/1/2013,10/1/2014,14,7,NULL
1018230,4/17/2014,4/17/2015,12,6,NULL
1018238,5/11/2014,5/11/2015,8,3,NULL
1018254,11/27/2013,11/27/2014,8,4,NULL
1018526,8/10/2013,8/10/2014,18,6,NULL
1018575,5/27/2014,5/27/2015,20,5,NULL
1018644,10/13/2013,10/13/2014,3,6,NULL
1018653,8/17/2013,8/17/2014,7,3,NULL
1018688,3/18/2014,3/18/2015,10,5,NULL
1018732,8/12/2013,8/12/2014,13,6,NULL
1018736,10/3/2013,10/3/2014,8,7,NULL
1018838,2/28/2014,2/28/2015,16,2,NULL
1019001,2/2/2014,2/2/2015,2,1,NULL
1019384,1/8/2014,1/8/2015,14,4,NULL
1019425,11/16/2013,11/16/2014,6,6,NULL
1019445,7/20/2013,7/20/2014,6,1,NULL
1019522,11/10/2013,11/10/2014,16,4,NULL
1019592,6/22/2013,6/22/2014,10,2,NULL
1019739,11/20/2013,11/20/2014,16,1,NULL
1019754,3/30/2014,3/30/2015,11,2,NULL
1019757,9/5/2013,9/5/2014,20,4,NULL
1019815,1/29/2014,1/29/2015,18,1,NULL
1019968,8/3/2013,8/3/2014,14,5,NULL
1020082,7/19/2013,7/19/2014,12,1,NULL
1020190,8/24/2013,8/24/2014,19,2,NULL
1020255,1/14/2014,1/14/2015,11,4,NULL
1020307,11/5/2013,11/5/2014,11,6,6/25/2014
1020366,7/28/2013,7/28/2014,12,1,NULL
1020391,12/12/2013,12/12/2014,17,7,NULL
1020405,9/29/2013,9/29/2014,8,4,7/5/2014
1020474,6/10/2013,6/10/2014,8,2,NULL
1020661,4/13/2014,4/13/2015,8,6,NULL
1020956,11/15/2013,11/15/2014,13,3,NULL
1021014,8/10/2013,8/10/2014,2,6,NULL
1021044,5/6/2014,5/6/2015,14,3,NULL
1021151,3/27/2014,3/27/2015,7,7,NULL
1021158,4/24/2014,4/24/2015,9,1,NULL
1021280,8/1/2013,8/1/2014,19,6,NULL
1021294,2/1/2014,2/1/2015,13,4,NULL
1021576,4/17/2014,4/17/2015,17,1,NULL
1021717,3/14/2014,3/14/2015,4,5,NULL
1021766,2/11/2014,2/11/2015,2,6,NULL
1021796,1/15/2014,1/15/2015,20,4,NULL
1022040,12/31/2013,12/31/2014,18,2,NULL
1022085,5/21/2014,5/21/2015,1,2,NULL
1022108,11/22/2013,11/22/2014,6,5,NULL
1022111,2/28/2014,2/28/2015,18,4,NULL
1022165,10/17/2013,10/17/2014,11,7,NULL
1022227,10/8/2013,10/8/2014,20,2,NULL
1022309,1/5/2014,1/5/2015,12,4,NULL
1022355,9/21/2013,9/21/2014,15,3,NULL
1022491,3/2/2014,3/2/2015,5,2,NULL
1022573,9/22/2013,9/22/2014,7,3,NULL
1022735,4/29/2014,4/29/2015,3,4,NULL
1022736,10/3/2013,10/3/2014,15,2,NULL
1022879,9/3/2013,9/3/2014,10,4,NULL
1022996,2/3/2014,2/3/2015,10,5,8/10/2014
1023174,11/4/2013,11/4/2014,13,6,NULL
1023199,10/23/2013,10/23/2014,9,7,NULL
1023255,2/7/2014,2/7/2015,1,5,NULL
1023352,11/30/2013,11/30/2014,18,7,NULL
1023370,12/29/2013,12/29/2014,10,6,NULL
1023403,2/24/2014,2/24/2015,8,7,NULL
1023431,2/13/2014,2/13/2015,10,6,NULL
1023466,7/28/2013,7/28/2014,9,6,NULL
1023673,5/21/2014,5/21/2015,6,3,NULL
1023723,6/30/2013,6/30/2014,16,6,NULL
1023776,6/23/2013,6/23/2014,13,1,NULL
1023788,9/28/2013,9/28/2014,2,1,NULL
1024080,10/31/2013,10/31/2014,18,1,NULL
1024162,9/21/2013,9/21/2014,6,2,NULL
1024217,7/22/2013,7/22/2014,15,4,NULL
1024332,6/15/2013,6/15/2014,15,7,NULL
1024402,10/31/2013,10/31/2014,8,6,NULL
1024421,1/31/2014,1/31/2015,19,7,NULL
1024432,3/22/2014,3/22/2015,20,2,NULL
1024441,9/26/2013,9/26/2014,11,2,NULL
1024455,8/20/2013,8/20/2014,4,6,NULL
1024469,9/21/2013,9/21/2014,17,2,NULL
1024504,3/7/2014,3/7/2015,10,2,NULL
1024607,8/19/2013,8/19/2014,7,4,NULL
1024654,2/23/2014,2/23/2015,4,4,NULL
1024791,8/20/2013,8/20/2014,15,5,7/26/2014
1024867,4/22/2014,4/22/2015,16,7,NULL
1024905,9/6/2013,9/6/2014,2,5,NULL
1024918,10/23/2013,10/23/2014,8,1,NULL
1024967,12/29/2013,12/29/2014,18,1,NULL
1025051,8/10/2013,8/10/2014,8,4,NULL
1025070,12/20/2013,12/20/2014,1,7,NULL
1025098,9/11/2013,9/11/2014,17,6,NULL
1025151,6/18/2013,6/18/2014,17,6,NULL
1025171,12/26/2013,12/26/2014,7,6,NULL
1025455,1/16/2014,1/16/2015,6,6,NULL
1025456,12/15/2013,12/15/2014,6,3,8/15/2014
1025467,10/27/2013,10/27/2014,6,6,NULL
1025475,5/26/2014,5/26/2015,1,7,8/8/2014
1025806,5/3/2014,5/3/2015,16,3,NULL
1025849,9/23/2013,9/23/2014,11,4,NULL
1025995,9/28/2013,9/28/2014,18,1,NULL
1026000,9/17/2013,9/17/2014,19,6,NULL
1026026,4/8/2014,4/8/2015,3,1,NULL
1026063,8/13/2013,8/13/2014,3,3,NULL
1026092,7/13/2013,7/13/2014,4,4,NULL
1026147,1/31/2014,1/31/2015,8,5,8/9/2014
1026216,12/20/2013,12/20/2014,9,6,NULL
1026361,3/9/2014,3/9/2015,1,5,NULL
1026398,8/18/2013,8/18/2014,12,4,NULL
1026419,4/15/2014,4/15/2015,13,1,NULL
1026491,10/13/2013,10/13/2014,12,7,NULL
1026582,2/25/2014,2/25/2015,14,2,NULL
1026697,6/11/2013,6/11/2014,1,6,NULL
1027030,12/6/2013,12/6/2014,14,7,NULL
1027136,5/30/2014,5/30/2015,8,4,NULL
1027163,1/5/2014,1/5/2015,13,4,NULL
1027282,9/2/2013,9/2/2014,4,5,NULL
1027358,5/29/2014,5/29/2015,2,7,NULL
1027453,6/14/2013,6/14/2014,3,7,NULL
1027502,12/23/2013,12/23/2014,20,4,NULL
1027575,9/18/2013,9/18/2014,7,2,NULL
1027693,1/25/2014,1/25/2015,3,7,NULL
1027997,3/8/2014,3/8/2015,14,2,NULL
1028020,10/29/2013,10/29/2014,19,5,7/16/2014
1028102,8/24/2013,8/24/2014,13,3,NULL
1028106,2/27/2014,2/27/2015,3,4,8/10/2014
1028121,9/21/2013,9/21/2014,8,3,NULL
1028146,3/8/2014,3/8/2015,2,4,6/1/2014
1028173,10/4/2013,10/4/2014,14,6,NULL
1028280,12/2/2013,12/2/2014,9,1,NULL
1028767,11/29/2013,11/29/2014,8,6,NULL
1028822,4/14/2014,4/14/2015,19,7,7/29/2014
1028858,11/9/2013,11/9/2014,4,4,NULL
1029011,9/9/2013,9/9/2014,5,3,NULL
1029152,11/20/2013,11/20/2014,20,3,NULL
1029158,12/14/2013,12/14/2014,15,4,6/27/2014
1029345,1/30/2014,1/30/2015,9,2,7/4/2014
1029398,3/2/2014,3/2/2015,11,4,NULL
1029409,7/9/2013,7/9/2014,4,6,NULL
1029634,4/25/2014,4/25/2015,10,5,NULL
1029719,11/14/2013,11/14/2014,7,4,NULL
1029725,11/24/2013,11/24/2014,4,1,NULL
1029827,6/24/2013,6/24/2014,13,1,NULL
1029864,8/25/2013,8/25/2014,14,7,NULL
1029927,2/12/2014,2/12/2015,5,5,NULL
1029963,4/26/2014,4/26/2015,6,3,NULL
1003197,8/6/2013,8/6/2014,17,3,NULL
1005107,5/14/2013,5/14/2014,19,6,NULL
1006043,2/17/2014,2/17/2015,13,4,5/5/2014
1013292,9/7/2013,9/7/2014,17,7,NULL
1023447,6/19/2013,6/19/2014,20,7,7/17/2014
1000072,5/9/2013,5/9/2014,17,1,NULL
1000149,11/21/2013,11/21/2014,9,4,NULL
1000793,5/7/2013,5/7/2014,6,7,NULL
1001202,2/13/2014,2/13/2015,12,7,6/12/2014
1002055,10/5/2013,10/5/2014,20,6,NULL
1002448,9/17/2013,9/17/2014,10,4,NULL
1002871,7/2/2013,7/2/2014,17,6,NULL
1003514,10/8/2013,10/8/2014,9,6,6/16/2014
1003622,4/2/2014,4/2/2015,16,1,NULL
1003947,1/8/2014,1/8/2015,11,4,NULL
1004029,3/24/2014,3/24/2015,7,7,NULL
1004252,2/21/2014,2/21/2015,7,1,NULL
1004381,5/29/2013,5/29/2014,6,6,NULL
1004682,12/7/2013,12/7/2014,17,2,NULL
1005019,12/16/2013,12/16/2014,16,5,NULL
1005103,1/18/2014,1/18/2015,5,5,NULL
1005239,12/2/2013,12/2/2014,15,3,NULL
1005251,8/5/2013,8/5/2014,15,6,5/16/2014
1005361,2/5/2014,2/5/2015,7,3,NULL
1005918,5/6/2013,5/6/2014,5,7,NULL
1006282,1/6/2014,1/6/2015,19,5,NULL
1007114,10/16/2013,10/16/2014,6,3,NULL
1007713,10/23/2013,10/23/2014,16,6,NULL
1007922,12/27/2013,12/27/2014,11,2,NULL
1008104,5/8/2013,5/8/2014,17,3,NULL
1008402,5/14/2013,5/14/2014,3,3,NULL
1008629,11/22/2013,11/22/2014,8,3,NULL
1008966,6/4/2013,6/4/2014,16,5,NULL
1009498,6/5/2013,6/5/2014,6,7,NULL
1009830,10/19/2013,10/19/2014,5,1,NULL
1009983,11/8/2013,11/8/2014,3,5,NULL
1010813,11/10/2013,11/10/2014,13,2,NULL
1011070,11/24/2013,11/24/2014,16,5,NULL
1011701,7/9/2013,7/9/2014,19,5,8/1/2014
1012113,8/26/2013,8/26/2014,5,5,NULL
1012698,7/15/2013,7/15/2014,17,5,NULL
1012873,12/8/2013,12/8/2014,14,5,NULL
1013991,12/6/2013,12/6/2014,9,6,7/19/2014
1014143,3/7/2014,3/7/2015,20,4,NULL
1014197,9/16/2013,9/16/2014,14,3,NULL
1014423,9/3/2013,9/3/2014,9,5,NULL
1014433,10/22/2013,10/22/2014,15,3,NULL
1014488,6/9/2013,6/9/2014,19,5,5/20/2014
1014702,7/28/2013,7/28/2014,5,5,NULL
1015044,4/19/2014,4/19/2015,1,6,NULL
1015182,9/3/2013,9/3/2014,17,3,NULL
1015249,1/14/2014,1/14/2015,20,7,NULL
1016048,9/16/2013,9/16/2014,11,3,NULL
1016152,5/14/2013,5/14/2014,5,3,NULL
1016405,5/12/2013,5/12/2014,15,7,NULL
1016996,1/31/2014,1/31/2015,6,3,NULL
1017337,7/15/2013,7/15/2014,19,3,NULL
1017395,7/28/2013,7/28/2014,7,2,NULL
1018074,11/11/2013,11/11/2014,4,5,NULL
1018641,2/4/2014,2/4/2015,19,1,NULL
1018749,4/30/2014,4/30/2015,14,3,NULL
1018823,7/4/2013,7/4/2014,5,4,5/12/2014
1019256,4/7/2014,4/7/2015,3,6,NULL
1019702,12/7/2013,12/7/2014,17,2,NULL
1019868,5/15/2013,5/15/2014,18,5,NULL
1020452,4/22/2014,4/22/2015,20,2,NULL
1021240,5/26/2013,5/26/2014,16,3,NULL
1021410,5/24/2013,5/24/2014,16,2,NULL
1021451,6/2/2013,6/2/2014,14,4,NULL
1022390,6/8/2013,6/8/2014,2,2,NULL
1022699,1/25/2014,1/25/2015,13,2,NULL
1022989,3/23/2014,3/23/2015,2,6,NULL
1023342,4/17/2014,4/17/2015,19,1,NULL
1024042,3/5/2014,3/5/2015,6,4,NULL
1024348,5/29/2013,5/29/2014,3,7,NULL
1024862,9/9/2013,9/9/2014,16,4,NULL
1025065,4/17/2014,4/17/2015,3,7,NULL
1025084,11/25/2013,11/25/2014,16,7,NULL
1025243,12/11/2013,12/11/2014,1,3,7/26/2014
1025501,12/13/2013,12/13/2014,12,2,NULL
1025919,11/12/2013,11/12/2014,15,6,NULL
1026584,12/23/2013,12/23/2014,12,3,NULL
1026762,4/1/2014,4/1/2015,1,1,NULL
1026775,12/6/2013,12/6/2014,14,7,NULL
1027159,6/11/2013,6/11/2014,17,1,NULL
1027516,10/23/2013,10/23/2014,5,4,NULL
1027865,1/13/2014,1/13/2015,6,7,5/26/2014
1027920,8/1/2013,8/1/2014,8,4,8/1/2014
1028245,3/5/2014,3/5/2015,10,2,NULL
1028357,2/7/2014,2/7/2015,10,3,NULL
1028738,8/4/2013,8/4/2014,13,7,NULL
1029432,7/2/2013,7/2/2014,19,3,5/12/2014
1029856,1/29/2014,1/29/2015,7,5,NULL
1000106,3/10/2014,3/10/2015,2,1,NULL
1000320,8/10/2013,8/10/2014,14,1,NULL
1000400,1/5/2014,1/5/2015,2,5,NULL
