Record ID,Policy Number,Driver ID,Vehicle ID,Vehicle Model Year,Location ID,Premium
1423,1004356,7356,59,2005,367,286
1433,1005351,8351,52,2005,481,474
1444,1007084,10084,64,2005,578,249
1456,1008321,11321,60,2005,171,374
1462,1009308,12308,75,2005,294,283
1471,1010329,13329,23,2005,299,271
1488,1011573,14573,8,2005,356,239
1504,1013322,16322,8,2005,250,240
1505,1013523,16523,79,2005,519,235
1507,1013623,16623,63,2005,517,326
1526,1015237,18237,78,2005,239,239
1531,1016072,19072,83,2005,200,349
1532,1016176,19176,48,2005,450,299
1534,1016434,19434,19,2005,49,273
1550,1017811,20811,20,2005,154,264
1552,1018067,21067,34,2005,362,252
1585,1021393,24393,25,2005,13,309
1591,1021982,24982,32,2005,334,259
1602,1022980,25980,42,2005,192,361
1609,1024558,27558,59,2005,526,423
1614,1025548,28548,66,2005,97,378
1627,1027292,30292,60,2005,95,285
1633,1027774,30774,65,2005,470,275
1654,1011867,14867,37,2005,131,257
1667,1002550,5550,56,2005,477,372
1670,1003006,6006,44,2005,172,259
1672,1003502,6502,3,2005,143,252
1677,1004175,7175,72,2005,311,293
1684,1005494,8494,68,2005,439,234
1689,1006050,9050,76,2005,188,225
1690,1006084,9084,33,2005,138,240
1704,1009038,12038,79,2005,144,316
1713,1011411,14411,60,2005,98,274
1733,1018670,21670,54,2005,229,194
1743,1023094,26094,67,2005,223,282
1744,1023172,26172,49,2005,417,279
1745,1023665,26665,13,2005,165,315
1752,1025383,28383,77,2005,361,294
1753,1025842,28842,1,2005,76,292
1771,1001256,4256,61,2005,423,322
1781,1002515,5515,4,2005,117,259
1787,1003210,6210,60,2005,513,303
1796,1003543,6543,85,2005,375,471
1797,1003705,6705,19,2005,12,346
1800,1004137,7137,45,2005,99,457
1814,1005551,8551,81,2005,200,438
1825,1006273,9273,1,2005,79,265
1838,1006952,9952,58,2005,580,218
1840,1007453,10453,51,2005,180,373
1844,1007731,10731,23,2005,42,274
1860,1009642,12642,51,2005,598,269
1894,1012700,15700,73,2005,93,369
1896,1013088,16088,68,2005,118,292
1907,1013933,16933,29,2005,141,332
1933,1016270,19270,59,2005,253,352
1981,1021480,24480,10,2005,282,286
2015,1024698,27698,80,2005,49,313
2019,1025082,28082,23,2005,56,259
2020,1025087,28087,50,2005,485,294
2025,1025339,28339,63,2005,487,308
2026,1025346,28346,76,2005,134,306
2036,1026119,29119,48,2005,258,293
2046,1027213,30213,41,2005,232,289
2048,1027296,30296,8,2005,99,377
2050,1027638,30638,43,2005,79,232
2061,1028783,31783,78,2005,417,257
2093,1004318,7318,68,2005,480,250
2095,1004569,7569,3,2005,398,235
2099,1005448,8448,28,2005,99,368
2117,1012264,15264,52,2005,52,413
2122,1014549,17549,47,2005,73,271
2125,1014852,17852,77,2005,540,289
2126,1015194,18194,76,2005,567,245
2150,1024898,27898,44,2005,268,343
2159,1027777,30777,72,2005,327,279
2165,1000163,3163,78,2005,559,301
2172,1000702,3702,53,2005,120,266
2173,1000792,3792,60,2005,50,241
2178,1001052,4052,36,2005,357,188
2192,1002596,5596,83,2005,24,257
2195,1002757,5757,63,2005,353,294
2198,1003307,6307,32,2005,321,223
2213,1004668,7668,59,2005,499,209
2231,1005681,8681,69,2005,217,345
2240,1006434,9434,78,2005,119,346
2249,1006920,9920,56,2005,278,251
2259,1007439,10439,80,2005,474,335
2261,1007605,10605,34,2005,137,273
2274,1008947,11947,68,2005,55,398
2277,1009102,12102,43,2005,333,342
2293,1010715,13715,80,2005,298,344
2294,1010745,13745,53,2005,91,303
2297,1010960,13960,51,2005,442,254
2299,1011229,14229,44,2005,269,294
2306,1011855,14855,61,2005,571,270
2310,1012350,15350,54,2005,364,347
2321,1013135,16135,18,2005,231,277
2330,1013540,16540,69,2005,97,423
2333,1013598,16598,80,2005,580,191
2334,1013757,16757,51,2005,85,376
2335,1013913,16913,55,2005,460,369
2337,1013988,16988,65,2005,394,359
2350,1015163,18163,55,2005,289,335
2353,1015522,18522,44,2005,108,396
2355,1015635,18635,44,2005,317,301
2390,1019012,22012,73,2005,489,365
2395,1019391,22391,46,2005,86,258
2399,1019825,22825,35,2005,179,349
2401,1019981,22981,66,2005,72,258
2404,1020301,23301,63,2005,446,291
2427,1022944,25944,72,2005,51,385
2453,1025048,28048,54,2005,279,314
2466,1026383,29383,70,2005,420,235
2467,1026501,29501,66,2005,175,328
2469,1026574,29574,47,2005,315,351
2473,1026836,29836,82,2005,509,349
2497,1028633,31633,43,2005,61,268
2501,1028844,31844,45,2005,340,262
2503,1028899,31899,37,2005,189,271
2508,1029210,32210,46,2005,50,355
2509,1029214,32214,82,2005,597,385
2511,1029295,32295,82,2005,315,319
2519,1029743,32743,51,2005,81,285
2525,1006003,9003,36,2005,156,292
2541,1000767,3767,11,2005,272,196
2552,1002693,5693,25,2005,90,320
2553,1002910,5910,68,2005,487,257
2559,1003552,6552,15,2005,417,336
2569,1006356,9356,10,2005,254,336
2576,1007273,10273,42,2005,260,260
2577,1007303,10303,45,2005,119,180
2583,1008817,11817,75,2005,254,287
2615,1014573,17573,46,2005,65,219
2628,1017030,20030,3,2005,354,228
2635,1018113,21113,13,2005,312,279
2644,1020117,23117,3,2005,292,252
2658,1023196,26196,61,2005,600,302
2662,1023535,26535,70,2005,465,275
2666,1023717,26717,68,2005,583,240
2690,1027353,30353,80,2005,77,261
2708,1000067,3067,12,2005,277,388
2711,1000124,3124,77,2005,508,322
2717,1000389,3389,74,2005,584,374
2719,1000596,3596,67,2005,440,272
2726,1000993,3993,49,2005,123,305
2729,1001115,4115,86,2005,311,315
2741,1001534,4534,60,2005,588,287
2745,1001596,4596,76,2005,528,265
2746,1001673,4673,81,2005,293,356
2761,1002660,5660,62,2005,579,253
2784,1003592,6592,41,2005,6,207
2786,1003771,6771,31,2005,277,414
2792,1003963,6963,46,2005,406,218
2802,1004555,7555,77,2005,366,304
2803,1004578,7578,44,2005,423,342
2821,1005370,8370,70,2005,343,296
2824,1005468,8468,56,2005,251,336
2827,1005637,8637,49,2005,271,342
2832,1005923,8923,57,2005,392,246
2846,1006456,9456,67,2005,170,289
2847,1006484,9484,57,2005,477,359
2852,1006662,9662,47,2005,366,347
2870,1007577,10577,33,2005,345,236
2878,1008068,11068,16,2005,404,371
2879,1008093,11093,82,2005,130,318
2893,1009172,12172,32,2005,310,321
2898,1009464,12464,36,2005,186,206
2919,1010618,13618,69,2005,598,263
2920,1010633,13633,60,2005,31,272
2946,1011919,14919,75,2005,26,280
2952,1012366,15366,40,2005,79,343
2961,1012820,15820,2,2005,253,288
2967,1013323,16323,31,2005,294,275
2977,1013873,16873,28,2005,326,328
2989,1014555,17555,1,2005,324,251
2992,1014741,17741,50,2005,82,322
2997,1015115,18115,62,2005,117,335
3001,1015233,18233,52,2005,265,336
3016,1015885,18885,41,2005,173,381
3019,1015935,18935,79,2005,369,264
3036,1016499,19499,87,2005,348,413
3046,1017055,20055,79,2005,231,317
3047,1017110,20110,3,2005,342,375
3078,1018605,21605,66,2005,432,300
3085,1018880,21880,10,2005,84,298
3099,1019819,22819,62,2005,330,398
3104,1019987,22987,65,2005,267,432
3113,1020713,23713,4,2005,264,266
3118,1021086,24086,60,2005,470,259
3121,1021279,24279,61,2005,462,317
3122,1021309,24309,83,2005,250,282
3130,1021602,24602,87,2005,84,309
3133,1021649,24649,58,2005,489,377
3137,1021734,24734,34,2005,248,325
3165,1022818,25818,83,2005,302,304
3168,1022862,25862,43,2005,211,316
3182,1023501,26501,77,2005,51,255
3198,1024183,27183,52,2005,237,272
3203,1024531,27531,69,2005,95,325
3206,1024604,27604,85,2005,202,320
3213,1025003,28003,44,2005,311,214
3216,1025211,28211,43,2005,211,178
3217,1025303,28303,86,2005,278,310
3221,1025404,28404,78,2005,192,313
3228,1025677,28677,80,2005,149,325
3236,1026013,29013,82,2005,579,272
3237,1026037,29037,66,2005,437,272
3250,1026714,29714,33,2005,353,213
3252,1026788,29788,70,2005,167,368
3261,1027492,30492,57,2005,418,248
3276,1028004,31004,67,2005,548,313
3317,1029399,32399,77,2005,23,340
3318,1029410,32410,38,2005,437,346
3319,1029420,32420,69,2005,581,283
3338,1016875,19875,40,2005,9,196
3398,1010534,13534,54,2005,279,285
3400,1010644,13644,51,2005,246,272
3406,1011621,14621,68,2005,366,275
3415,1013319,16319,58,2005,21,328
3420,1013895,16895,50,2005,206,376
3425,1015862,18862,40,2005,84,337
3430,1017359,20359,43,2005,49,340
3437,1019824,22824,38,2005,348,289
3444,1021108,24108,40,2005,103,236
3449,1022344,25344,10,2005,70,305
3453,1023537,26537,53,2005,320,323
3459,1024784,27784,53,2005,209,260
3460,1024871,27871,30,2005,41,292
3461,1024963,27963,30,2005,344,323
3462,1025050,28050,44,2005,343,314
3465,1025748,28748,47,2005,400,352
3472,1027365,30365,57,2005,504,385
3473,1027720,30720,61,2005,554,261
3474,1027783,30783,7,2005,20,339
3479,1028239,31239,40,2005,203,216
3486,1029265,32265,58,2005,213,271
3492,1029939,32939,11,2005,28,295
3504,1000578,3578,31,2005,9,258
3506,1000614,3614,75,2005,428,301
3507,1000656,3656,18,2005,310,241
3509,1000718,3718,85,2005,63,358
3510,1000729,3729,60,2005,501,494
3514,1000924,3924,49,2005,592,321
3517,1000991,3991,77,2005,117,281
3520,1001138,4138,50,2005,471,402
3525,1001308,4308,64,2005,533,429
3546,1001939,4939,46,2005,196,305
3565,1002806,5806,4,2005,115,206
3587,1003928,6928,47,2005,20,377
3589,1004031,7031,35,2005,280,251
3593,1004164,7164,26,2005,373,326
3596,1004285,7285,49,2005,326,284
3611,1005061,8061,35,2005,283,344
3616,1005288,8288,45,2005,108,365
3624,1005764,8764,65,2005,65,362
3632,1006333,9333,12,2005,3,263
3643,1006866,9866,61,2005,123,291
3646,1007002,10002,77,2005,188,371
3648,1007021,10021,59,2005,126,245
3673,1007909,10909,57,2005,408,468
3674,1007929,10929,62,2005,130,288
3682,1008458,11458,39,2005,297,284
3686,1008632,11632,51,2005,523,432
3698,1009223,12223,20,2005,186,268
3706,1009629,12629,66,2005,82,271
3710,1009700,12700,4,2005,336,335
3717,1010154,13154,39,2005,379,286
3727,1010487,13487,41,2005,23,239
3730,1010739,13739,66,2005,447,366
3736,1011263,14263,85,2005,52,318
3737,1011296,14296,36,2005,383,223
3740,1011350,14350,43,2005,310,264
3748,1011820,14820,52,2005,274,350
3752,1012107,15107,42,2005,86,240
3759,1012198,15198,44,2005,117,312
3766,1012545,15545,45,2005,50,199
3775,1013200,16200,61,2005,30,250
3782,1013410,16410,75,2005,174,302
3790,1013601,16601,49,2005,33,476
3797,1013950,16950,73,2005,331,228
3802,1014187,17187,69,2005,294,279
3807,1014396,17396,58,2005,229,212
3811,1014536,17536,59,2005,534,332
3816,1014664,17664,53,2005,492,164
3833,1015602,18602,69,2005,538,341
3838,1015897,18897,81,2005,112,404
3841,1016027,19027,69,2005,596,324
3865,1016989,19989,77,2005,24,358
3874,1017458,20458,75,2005,491,274
3875,1017504,20504,75,2005,324,266
3878,1017573,20573,71,2005,264,348
3885,1017929,20929,53,2005,508,200
3927,1019546,22546,75,2005,469,328
3931,1019747,22747,50,2005,122,310
3962,1021145,24145,83,2005,209,394
3971,1021776,24776,79,2005,96,257
3973,1021812,24812,52,2005,541,289
3976,1022220,25220,40,2005,147,265
3982,1022606,25606,81,2005,110,429
3997,1023134,26134,21,2005,236,248
4033,1025054,28054,81,2005,10,251
4034,1025060,28060,72,2005,134,285
4039,1025219,28219,76,2005,164,351
4043,1025410,28410,35,2005,210,282
4059,1026464,29464,63,2005,106,229
4066,1027016,30016,75,2005,40,300
4091,1028139,31139,48,2005,536,359
4097,1028410,31410,40,2005,150,314
4103,1028624,31624,65,2005,28,236
4115,1029292,32292,79,2005,128,338
4121,1029560,32560,53,2005,117,364
4123,1029586,32586,65,2005,436,268
4126,1029713,32713,78,2005,89,310
4138,1002464,5464,74,2005,278,257
4139,1006444,9444,67,2005,188,242
4143,1011869,14869,29,2005,384,325
4145,1012431,15431,26,2005,216,265
4155,1025891,28891,59,2005,99,205
4180,1004219,7219,18,2005,437,332
4181,1004874,7874,32,2005,55,306
4183,1005037,8037,37,2005,50,298
4191,1005845,8845,7,2005,7,223
4196,1007617,10617,53,2005,180,279
4205,1008910,11910,17,2005,173,263
4210,1009305,12305,31,2005,11,343
4211,1009346,12346,64,2005,248,339
4212,1009653,12653,78,2005,362,303
4236,1013880,16880,63,2005,593,320
4242,1016175,19175,50,2005,213,402
4269,1022047,25047,55,2005,348,377
4272,1022555,25555,58,2005,534,204
4283,1024669,27669,58,2005,512,284
4289,1025487,28487,74,2005,502,241
4292,1026021,29021,19,2005,285,218
4295,1026610,29610,27,2005,265,291
4300,1027393,30393,43,2005,334,330
4310,1028680,31680,56,2005,155,319
4322,1000236,3236,21,2005,195,302
4324,1000300,3300,39,2005,372,268
4328,1000418,3418,18,2005,62,312
4330,1000514,3514,44,2005,345,232
4336,1000580,3580,87,2005,96,353
4337,1000617,3617,10,2005,217,234
4339,1000774,3774,59,2005,291,308
4343,1000914,3914,64,2005,61,286
4346,1000966,3966,50,2005,474,291
4349,1001050,4050,50,2005,586,329
4350,1001066,4066,75,2005,233,378
4382,1002811,5811,20,2005,332,242
4399,1003664,6664,55,2005,502,317
4411,1004225,7225,41,2005,25,284
4416,1004361,7361,61,2005,452,246
4419,1004473,7473,85,2005,92,235
4434,1005385,8385,35,2005,409,252
4439,1005502,8502,66,2005,584,365
4440,1005503,8503,29,2005,364,354
4447,1006103,9103,3,2005,114,267
4450,1006200,9200,66,2005,526,313
4468,1007257,10257,62,2005,560,308
4474,1007618,10618,87,2005,221,396
4477,1007821,10821,53,2005,461,228
4478,1007921,10921,76,2005,509,315
4483,1008058,11058,65,2005,544,288
4497,1008893,11893,71,2005,277,357
4502,1009051,12051,40,2005,80,227
4521,1009706,12706,14,2005,314,233
4524,1009925,12925,82,2005,514,265
4527,1010019,13019,61,2005,162,320
4529,1010084,13084,56,2005,484,238
4534,1010220,13220,62,2005,520,326
4553,1011563,14563,48,2005,421,256
4560,1011899,14899,75,2005,579,368
4581,1013073,16073,66,2005,461,384
4594,1013660,16660,85,2005,285,341
4611,1014817,17817,6,2005,333,250
4627,1015468,18468,86,2005,359,298
4637,1016131,19131,43,2005,217,272
4653,1016510,19510,51,2005,440,275
4660,1016660,19660,78,2005,319,365
4667,1017043,20043,56,2005,498,265
4673,1017314,20314,7,2005,280,188
4674,1017338,20338,87,2005,144,239
4683,1017605,20605,78,2005,585,275
4686,1017684,20684,7,2005,246,329
4696,1018188,21188,16,2005,400,212
4700,1018352,21352,65,2005,295,295
4704,1018572,21572,72,2005,363,431
4709,1018720,21720,80,2005,73,386
4711,1018765,21765,37,2005,230,264
4729,1019696,22696,55,2005,489,316
4733,1019832,22832,75,2005,102,235
4735,1019844,22844,54,2005,197,200
4744,1020321,23321,57,2005,562,268
4746,1020402,23402,38,2005,253,193
4749,1020477,23477,75,2005,226,280
4753,1020762,23762,34,2005,295,357
4758,1021006,24006,54,2005,495,381
4767,1021403,24403,80,2005,107,282
4773,1021585,24585,61,2005,144,223
4778,1021664,24664,25,2005,258,305
4779,1021667,24667,64,2005,30,312
4783,1021746,24746,27,2005,360,459
4788,1021959,24959,54,2005,39,240
4793,1022080,25080,10,2005,39,316
4806,1022593,25593,75,2005,52,299
4824,1023813,26813,5,2005,320,367
4847,1024724,27724,77,2005,203,299
4865,1025287,28287,32,2005,104,303
4874,1025922,28922,55,2005,557,287
4883,1026286,29286,5,2005,250,342
4898,1026998,29998,51,2005,491,254
4901,1027080,30080,79,2005,566,283
4903,1027152,30152,72,2005,524,399
4904,1027157,30157,71,2005,543,205
4920,1027887,30887,49,2005,408,293
4925,1028214,31214,61,2005,260,317
4929,1028641,31641,62,2005,289,447
4956,1029360,32360,78,2005,509,307
4964,1029629,32629,75,2005,199,490
4971,1029980,32980,46,2005,302,353
4991,1000141,3141,33,2005,434,269
5010,1005052,8052,76,2005,261,366
5023,1008756,11756,84,2005,7,362
5025,1008864,11864,81,2005,81,276
5032,1010412,13412,73,2005,173,364
5050,1012561,15561,86,2005,269,243
5054,1013755,16755,63,2005,148,410
5061,1014941,17941,44,2005,136,395
5079,1018718,21718,81,2005,316,402
5093,1020793,23793,28,2005,372,245
5105,1022230,25230,49,2005,323,279
5107,1022333,25333,50,2005,589,286
5118,1023956,26956,61,2005,248,261
5129,1026490,29490,65,2005,75,361
5135,1027585,30585,74,2005,425,227
5136,1027661,30661,56,2005,453,196
5146,1029104,32104,81,2005,240,240
5159,1000402,3402,48,2005,12,377
5166,1000808,3808,16,2005,409,299
5188,1001808,4808,71,2005,459,239
5200,1002170,5170,46,2005,437,368
5226,1003292,6292,33,2005,152,246
5239,1003594,6594,78,2005,325,253
5243,1003675,6675,22,2005,138,274
5266,1004488,7488,14,2005,434,329
5273,1004736,7736,25,2005,10,222
5298,1006315,9315,3,2005,31,338
5302,1006426,9426,66,2005,60,286
5303,1006447,9447,1,2005,280,290
5306,1006491,9491,27,2005,358,347
5310,1006571,9571,78,2005,481,352
5312,1006626,9626,80,2005,474,353
5313,1006665,9665,1,2005,155,212
5315,1006714,9714,57,2005,424,307
5327,1007340,10340,56,2005,582,249
5337,1007700,10700,75,2005,39,380
5346,1007933,10933,34,2005,16,305
5347,1007940,10940,72,2005,535,313
5349,1007954,10954,30,2005,359,197
5350,1007966,10966,39,2005,11,327
5355,1008188,11188,51,2005,117,255
5377,1008845,11845,10,2005,107,277
5384,1009142,12142,30,2005,132,212
5390,1009702,12702,68,2005,232,428
5407,1010278,13278,69,2005,413,311
5413,1010496,13496,2,2005,74,361
5415,1010570,13570,63,2005,413,289
5434,1011619,14619,65,2005,433,276
5439,1011891,14891,40,2005,166,198
5468,1012959,15959,20,2005,61,219
5469,1012961,15961,20,2005,16,303
5470,1012994,15994,11,2005,285,276
5471,1013017,16017,49,2005,270,303
5473,1013080,16080,49,2005,161,275
5478,1013355,16355,6,2005,113,266
5488,1013713,16713,85,2005,280,367
5498,1014302,17302,87,2005,393,353
5516,1015135,18135,65,2005,453,297
5518,1015184,18184,34,2005,289,281
5524,1015591,18591,79,2005,376,243
5528,1015839,18839,73,2005,369,228
5533,1015915,18915,40,2005,197,307
5538,1016098,19098,56,2005,555,264
5541,1016212,19212,57,2005,321,252
5546,1016391,19391,83,2005,395,320
5554,1016617,19617,60,2005,230,247
5556,1016813,19813,17,2005,398,205
5563,1017276,20276,51,2005,600,312
5566,1017397,20397,48,2005,487,301
5580,1017877,20877,70,2005,292,403
5587,1018152,21152,66,2005,303,332
5594,1018345,21345,34,2005,285,277
5601,1018598,21598,49,2005,194,305
5629,1019245,22245,79,2005,325,330
5638,1019528,22528,55,2005,265,283
5640,1019693,22693,48,2005,331,249
5642,1019771,22771,52,2005,264,335
5652,1020147,23147,68,2005,467,403
5655,1020267,23267,44,2005,111,317
5660,1020388,23388,84,2005,228,294
5667,1020833,23833,68,2005,464,259
5688,1021571,24571,69,2005,584,307
5696,1022340,25340,60,2005,541,231
5721,1022994,25994,75,2005,108,249
5727,1023257,26257,38,2005,206,405
5728,1023293,26293,70,2005,560,328
5740,1023962,26962,82,2005,29,319
5743,1024073,27073,42,2005,55,251
5744,1024077,27077,52,2005,75,380
5752,1024452,27452,74,2005,219,267
5758,1024859,27859,86,2005,216,271
5762,1025143,28143,43,2005,364,242
5775,1025512,28512,69,2005,251,320
5779,1025765,28765,59,2005,205,244
5781,1025796,28796,45,2005,197,291
5785,1025856,28856,42,2005,260,300
5786,1025880,28880,81,2005,508,299
5801,1026556,29556,66,2005,480,383
5803,1026564,29564,36,2005,40,328
5804,1026588,29588,1,2005,217,277
5805,1026631,29631,29,2005,343,200
5807,1026702,29702,32,2005,371,347
5813,1026844,29844,19,2005,213,246
5818,1027284,30284,18,2005,235,253
5831,1027645,30645,19,2005,26,300
5840,1028104,31104,54,2005,68,324
5850,1028740,31740,75,2005,62,307
5851,1028747,31747,63,2005,483,281
5854,1029013,32013,30,2005,56,320
5857,1029118,32118,81,2005,248,252
5889,1011714,14714,32,2005,246,345
5902,1027111,30111,79,2005,76,345
5912,1000899,3899,78,2005,548,274
5925,1002122,5122,55,2005,505,264
5928,1003089,6089,15,2005,168,296
5929,1003186,6186,62,2005,258,236
5937,1004401,7401,52,2005,367,337
5946,1005563,8563,12,2005,205,281
5977,1010690,13690,68,2005,177,330
6020,1017280,20280,77,2005,16,282
6027,1019725,22725,54,2005,208,228
6029,1019907,22907,76,2005,520,232
6042,1022990,25990,64,2005,480,282
6051,1023910,26910,52,2005,486,361
6060,1025962,28962,70,2005,266,291
6071,1027767,30767,46,2005,120,334
6087,1000334,3334,64,2005,351,363
6092,1000699,3699,64,2005,266,249
6100,1001083,4083,78,2005,20,349
6127,1002684,5684,62,2005,269,304
6128,1002709,5709,43,2005,418,296
6129,1002769,5769,63,2005,142,224
6135,1003166,6166,34,2005,84,235
6145,1003970,6970,68,2005,262,397
6163,1004783,7783,48,2005,482,246
6174,1005277,8277,55,2005,188,389
6188,1006002,9002,58,2005,502,296
6189,1006122,9122,43,2005,199,325
6198,1006643,9643,50,2005,571,406
6199,1006718,9718,29,2005,239,236
6201,1006775,9775,44,2005,191,418
6224,1007761,10761,66,2005,446,338
6259,1009057,12057,38,2005,271,323
6260,1009112,12112,39,2005,116,313
6278,1009913,12913,80,2005,235,289
6279,1009991,12991,52,2005,518,216
6304,1011021,14021,60,2005,513,288
6306,1011067,14067,75,2005,513,301
6321,1011795,14795,66,2005,389,321
6339,1012648,15648,45,2005,406,286
6347,1012999,15999,51,2005,229,357
6372,1013811,16811,44,2005,138,344
6383,1014475,17475,68,2005,468,313
6403,1015497,18497,81,2005,451,256
