Claim ID,Policy ID,Claimant Id,Vehicle ID,Claim Amount,Claim Description
130,1019577,22577,73,20680,Personal Injury
1217,1000235,3235,58,20650,Injury by Uninsured or Underinsured Defendant
912,1008814,11814,10,20400,Loss of Value to Vehicle
361,1025811,28811,58,20300,Personal Injury
346,1023450,26450,80,20250,Property Damage Claims
91,1019723,22723,74,20090,Injury by Uninsured or Underinsured Defendant
1165,1005059,8059,86,27260,Injury by Uninsured or Underinsured Defendant
1298,1017794,2218359,83,19920,Reimbursement for Property Repairs
746,1017182,20182,8,19890,Loss of Value to Vehicle
156,1007848,10848,24,19800,Loss of Value to Vehicle
228,1010599,13599,49,19520,Personal Injury
8,1008486,11486,8,19380,Loss of Value to Vehicle
458,1008312,11312,10,19380,Loss of Value to Vehicle
609,1026548,29548,53,19380,Injury by Uninsured or Underinsured Defendant
1174,1001856,2216464,59,19380,Personal Injury
942,1006093,9093,51,19140,Injury by Uninsured or Underinsured Defendant
1278,1029943,32943,51,19140,Personal Injury
672,1002138,5138,83,19090,Reimbursement for Property Repairs
1214,1021573,2219913,60,18914,Personal Injury
1187,1005097,8097,76,7800,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
83,1012802,15802,57,18550,Injury by Uninsured or Underinsured Defendant
365,1016905,19905,53,18360,Injury by Uninsured or Underinsured Defendant
285,1005520,8520,72,18330,Injury by Uninsured or Underinsured Defendant
1036,1027013,2217752,52,18306,Personal Injury
1062,1028231,31231,87,18260,Bodily Injury Claims
1116,1001659,4659,87,18260,Bodily Injury Claims
161,1023323,26323,38,18200,Injury by Uninsured or Underinsured Defendant
1161,1005254,8254,69,3600,Bodily Injury Claims
444,1014243,17243,55,18020,Personal Injury
354,1016663,19663,80,18000,Property Damage Claims
103,1021711,24711,44,17980,Injury by Uninsured or Underinsured Defendant
1078,1018154,2215411,86,17860,Personal Injury
1149,1007298,10298,84,17800,Property Damage Claims
277,1009291,12291,43,17690,Injury by Uninsured or Underinsured Defendant
766,1028235,31235,9,17680,Loss of Value to Vehicle
43,1010342,13342,17,17640,Loss of Value to Vehicle
404,1002959,5959,40,17640,Injury by Uninsured or Underinsured Defendant
80,1012440,15440,81,17600,Injury by Uninsured or Underinsured Defendant
1119,1026475,29475,81,17600,Property Damage Claims
58,1005480,8480,42,4930,Third Party Car Insurance Claims
481,1021187,24187,4,17440,Loss of Value to Vehicle
53,1013048,16048,36,17360,Injury by Uninsured or Underinsured Defendant
957,1021063,2215573,35,17280,Injury by Uninsured or Underinsured Defendant
876,1018065,21065,80,17250,Property Damage Claims
1262,1006588,9588,4,17120,Loss of Value to Vehicle
837,1000490,3490,41,17100,Injury by Uninsured or Underinsured Defendant
850,1028507,31507,46,17100,Personal Injury
1282,1023258,26258,36,17080,Personal Injury
963,1029590,32590,55,17000,Personal Injury
673,1015119,18119,3,16950,Loss of Value to Vehicle
646,1005629,8629,35,1620,Third Party Car Insurance Claims
1255,1015590,18590,79,16900,Personal Injury
445,1016655,2217028,73,24910,Personal Injury
375,1016357,19357,81,16800,Property Damage Claims
998,1018850,120503,81,16800,Reimbursement for Property Repairs
769,1009667,12667,59,16720,Personal Injury
582,1005958,8958,79,6500,Bodily Injury Claims
1005,1029076,114468,87,16600,Third Party Car Insurance Claims
401,1026756,29756,85,16560,Bodily Injury Claims
1210,1014992,17992,43,16530,Personal Injury
904,1011756,47236,35,24300,Loss of Value to Vehicle
1276,1009667,12667,59,16340,Personal Injury
863,1017185,20185,3,16200,Loss of Value to Vehicle
1340,1028361,31361,8,16150,Loss of Value to Vehicle
742,1027233,30233,84,16020,Third Party Car Insurance Claims
964,1016192,19192,84,16020,Bodily Injury Claims
115,1006588,9588,4,16000,Loss of Value to Vehicle
1127,1009749,12749,81,16000,Property Damage Claims
125,1026502,29502,79,22750,Injury by Uninsured or Underinsured Defendant
1246,1013933,2220446,86,15980,Property Damage Claims
579,1026965,29965,40,15960,Personal Injury
732,1003106,6106,33,15750,Personal Injury
55,1006524,9524,83,14940,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
835,1000707,3707,36,15680,Personal Injury
953,1028604,31604,71,15640,Injury by Uninsured or Underinsured Defendant
1186,1023216,26216,85,15640,Third Party Car Insurance Claims
877,1002845,5845,3,15600,Loss of Value to Vehicle
1288,1021635,24635,76,15600,Personal Injury
249,1001098,4098,60,15440,Personal Injury
113,1002216,5216,37,15400,Injury by Uninsured or Underinsured Defendant
885,1023258,26258,36,15400,Personal Injury
972,1017877,20877,70,15300,Injury by Uninsured or Underinsured Defendant
1228,1013599,16599,53,15300,Injury by Uninsured or Underinsured Defendant
894,1022187,25187,63,15200,Personal Injury
532,1028358,31358,84,15130,Property Damage Claims
878,1023528,47336,66,15050,Injury by Uninsured or Underinsured Defendant
651,1000649,3649,86,15040,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
804,1029530,32530,86,15040,Third Party Car Insurance Claims
1216,1006767,9767,87,11620,Third Party Car Insurance Claims
690,1012196,15196,80,15000,Reimbursement for Property Repairs
723,1007183,10183,70,4950,Third Party Car Insurance Claims
414,1004081,7081,87,14940,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
504,1021866,2216408,83,14940,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
616,1001111,4111,83,14940,Third Party Car Insurance Claims
890,1024438,27438,83,14940,Bodily Injury Claims
1085,1014475,17475,82,14940,Bodily Injury Claims
1131,1018975,21975,87,14940,Third Party Car Insurance Claims
1221,1023082,2217419,83,14940,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1251,1021612,49194,77,14850,Reimbursement for Property Repairs
1302,1021612,49194,77,14850,Reimbursement for Property Repairs
970,1023796,26796,62,14820,Personal Injury
1034,1017990,20990,85,21160,Personal Injury
596,1026915,29915,39,14560,Injury by Uninsured or Underinsured Defendant
245,1029178,46804,59,14440,Personal Injury
518,1007996,10996,81,14400,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
900,1016411,19411,81,14400,Bodily Injury Claims
1123,1001050,4050,81,14400,Bodily Injury Claims
171,1021918,24918,2,14300,Loss of Value to Vehicle
1169,1011298,14298,79,14300,Property Damage Claims
448,1018124,21124,55,14280,Personal Injury
1203,1027510,30510,80,14250,Property Damage Claims
975,1007286,10286,10,16660,Loss of Value to Vehicle
734,1007329,10329,42,18850,Personal Injury
1230,1018959,21959,84,14240,Third Party Car Insurance Claims
144,1023106,26106,82,14110,Bodily Injury Claims
576,1004656,7656,82,14110,Third Party Car Insurance Claims
647,1009572,12572,82,14110,Property Damage Claims
1111,1006722,49156,82,14110,Bodily Injury Claims
1219,1003823,6823,9,14110,Loss of Value to Vehicle
1136,1008155,11155,86,14100,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
459,1029825,32825,56,17500,Injury by Uninsured or Underinsured Defendant
1185,1020902,23902,76,14040,Injury by Uninsured or Underinsured Defendant
601,1006159,9159,61,14004,Injury by Uninsured or Underinsured Defendant
308,1028198,31198,57,14000,Personal Injury
733,1021771,24771,3,13950,Loss of Value to Vehicle
36,1025452,28452,53,13940,Personal Injury
1320,1006093,9093,51,13860,Injury by Uninsured or Underinsured Defendant
124,1022678,25678,26,13800,Personal Injury
242,1015545,18545,85,13800,Bodily Injury Claims
291,1021448,24448,35,13770,Injury by Uninsured or Underinsured Defendant
280,1009995,12995,51,16830,Personal Injury
712,1008056,11056,40,13720,Personal Injury
24,1018550,21550,59,13680,Injury by Uninsured or Underinsured Defendant
841,1007546,10546,80,7500,Bodily Injury Claims
1333,1019584,22584,22,13640,Injury by Uninsured or Underinsured Defendant
1245,1005520,8520,72,13630,Injury by Uninsured or Underinsured Defendant
613,1028644,31644,81,13600,Bodily Injury Claims
1082,1026975,29975,81,13600,Bodily Injury Claims
1225,1010912,13912,60,13510,Personal Injury
10,1002747,5747,75,13500,Reimbursement for Property Repairs
328,1002278,5278,80,13500,Bodily Injury Claims
834,1013015,16015,86,15040,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
933,1011241,14241,30,13440,Personal Injury
1207,1002937,5937,1,13420,Loss of Value to Vehicle
184,1007926,10926,66,11610,Property Damage Claims
872,1016649,19649,65,13330,Injury by Uninsured or Underinsured Defendant
995,1027166,30166,82,13280,Third Party Car Insurance Claims
1042,1021708,24708,82,13280,Third Party Car Insurance Claims
426,1008000,11000,77,8250,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1157,1008744,11744,83,13280,Property Damage Claims
1308,1028144,31144,82,13280,Bodily Injury Claims
95,1006204,9204,33,13250,Injury by Uninsured or Underinsured Defendant
486,1005599,8599,20,13230,Injury by Uninsured or Underinsured Defendant
490,1028234,31234,74,13230,Injury by Uninsured or Underinsured Defendant
1145,1008070,11070,86,10340,Third Party Car Insurance Claims
887,1029943,32943,51,13200,Personal Injury
290,1015293,18293,86,13160,Third Party Car Insurance Claims
1126,1029998,32998,75,13000,Property Damage Claims
1237,1005806,8806,79,13000,Property Damage Claims
177,1022164,25164,78,12980,Property Damage Claims
174,1008495,11495,32,12960,Personal Injury
1236,1003179,6179,31,12960,Injury by Uninsured or Underinsured Defendant
993,1001138,4138,85,12880,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1038,1000718,3718,85,12880,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
630,1026767,29767,81,12800,Bodily Injury Claims
1270,1023622,26622,25,12760,Personal Injury
987,1014843,17843,43,12470,Injury by Uninsured or Underinsured Defendant
836,1018766,21766,84,12460,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
315,1008092,11092,44,32770,Loss of Value to Vehicle
169,1029007,32007,82,12450,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
752,1009446,12446,82,12450,Third Party Car Insurance Claims
978,1017794,2218359,83,12450,Reimbursement for Property Repairs
224,1008400,11400,56,3500,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
565,1007413,10413,78,12390,Reimbursement for Property Repairs
939,1019229,22229,78,12390,Reimbursement for Property Repairs
170,1011561,14561,79,12350,Reimbursement for Property Repairs
634,1017391,20391,37,12320,Personal Injury
940,1010893,13893,43,12180,Injury by Uninsured or Underinsured Defendant
307,1027288,30288,25,12100,Personal Injury
781,1027251,30251,77,12100,Reimbursement for Property Repairs
698,1010993,13993,81,12000,Third Party Car Insurance Claims
721,1002130,5130,81,12000,Bodily Injury Claims
813,1012269,15269,59,14060,Injury by Uninsured or Underinsured Defendant
1108,1000130,3130,75,12000,Reimbursement for Property Repairs
1184,1010864,13864,80,12000,Bodily Injury Claims
1323,1007996,10996,81,12000,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
645,1008676,11676,14,11970,Injury by Uninsured or Underinsured Defendant
198,1021635,24635,76,11960,Personal Injury
1194,1017225,20225,85,11960,Bodily Injury Claims
662,1006427,9427,55,11900,Injury by Uninsured or Underinsured Defendant
389,1009483,12483,14,11780,Personal Injury
852,1008622,11622,57,5950,Bodily Injury Claims
840,1008908,11908,10,1870,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
860,1020337,2220698,83,11620,Bodily Injury Claims
976,1022341,25341,87,11620,Third Party Car Insurance Claims
1074,1020481,23481,87,11620,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
2,1002163,5163,27,13340,Personal Injury
1259,1013020,16020,83,11620,Bodily Injury Claims
1067,1020170,47812,87,13280,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
296,1018623,21623,84,11570,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
637,1009127,12127,29,7130,Injury by Uninsured or Underinsured Defendant
1040,1020114,23114,84,11570,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
44,1009195,12195,55,5440,Bodily Injury Claims
1095,1009297,12297,1,3080,Injury by Uninsured or Underinsured Defendant
196,1024702,27702,23,11440,Injury by Uninsured or Underinsured Defendant
317,1009303,12303,67,6450,Reimbursement for Property Repairs
1061,1017554,20554,72,11280,Property Damage Claims
652,1023622,26622,25,11220,Personal Injury
1044,1019584,22584,22,11220,Injury by Uninsured or Underinsured Defendant
1071,1023194,26194,40,11200,Injury by Uninsured or Underinsured Defendant
154,1000112,3112,2,11180,Loss of Value to Vehicle
282,1023787,26787,67,11180,Reimbursement for Property Repairs
477,1020889,23889,65,11180,Reimbursement for Property Repairs
670,1006157,9157,1,13200,Loss of Value to Vehicle
1055,1025041,28041,79,11050,Reimbursement for Property Repairs
757,1027043,30043,85,11040,Bodily Injury Claims
166,1018704,21704,13,11020,Injury by Uninsured or Underinsured Defendant
30,1028708,31708,75,11000,Reimbursement for Property Repairs
606,1000147,3147,75,11000,Property Damage Claims
1296,1009849,47831,77,11000,Reimbursement for Property Repairs
279,1021515,24515,76,10920,Property Damage Claims
1303,1000310,3310,19,10920,Personal Injury
649,1027977,30977,34,10906,Personal Injury
621,1017482,20482,63,10800,Reimbursement for Property Repairs
476,1018045,21045,82,10790,Bodily Injury Claims
966,1004240,7240,83,10790,Bodily Injury Claims
1008,1007575,10575,83,10790,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1247,1028234,31234,74,10780,Injury by Uninsured or Underinsured Defendant
1328,1007784,10784,1,10780,Loss of Value to Vehicle
745,1026210,29210,44,10730,Injury by Uninsured or Underinsured Defendant
770,1024432,27432,84,10680,Bodily Injury Claims
1182,1020516,23516,84,10680,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
60,1006238,2218846,78,10620,Bodily Injury Claims
1030,1014467,17467,78,10620,Bodily Injury Claims
1122,1029342,2220117,31,10560,Injury by Uninsured or Underinsured Defendant
744,1009849,47831,77,10450,Reimbursement for Property Repairs
545,1016337,19337,12,10440,Injury by Uninsured or Underinsured Defendant
619,1023781,26781,43,10440,Personal Injury
1118,1002114,46231,42,10440,Injury by Uninsured or Underinsured Defendant
571,1005806,8806,79,10400,Property Damage Claims
751,1016128,19128,81,12000,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
883,1015303,18303,79,10400,Third Party Car Insurance Claims
928,1023416,26416,79,10400,Third Party Car Insurance Claims
943,1004332,7332,81,10400,Bodily Injury Claims
951,1026411,29411,79,10400,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1178,1015590,18590,79,10400,Personal Injury
15,1028708,2219355,21,10340,Personal Injury
724,1023646,26646,65,11180,Reimbursement for Property Repairs
1153,1013854,16854,73,10340,Reimbursement for Property Repairs
888,1009651,12651,50,5120,Third Party Car Insurance Claims
183,1013914,2219621,65,10320,Reimbursement for Property Repairs
1172,1025231,28231,44,10150,Personal Injury
1170,1019430,22430,85,10120,Bodily Injury Claims
1201,1016594,19594,78,10030,Third Party Car Insurance Claims
1232,1015207,18207,75,10000,Property Damage Claims
632,1009775,12775,54,3400,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1013,1014388,17388,82,9960,Third Party Car Insurance Claims
66,1009784,12784,26,2760,Bodily Injury Claims
893,1009790,12790,84,12460,Third Party Car Insurance Claims
107,1020589,23589,76,9880,Property Damage Claims
990,1014246,2220848,18,9870,Personal Injury
17,1012323,116780,8,9860,Personal Injury
202,1006896,9896,7,9860,Personal Injury
468,1009844,12844,79,18200,Injury by Uninsured or Underinsured Defendant
321,1008494,47628,80,9750,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
422,1015024,18024,79,9750,Personal Injury
718,1027459,30459,79,9750,Bodily Injury Claims
21,1017748,20748,71,9660,Property Damage Claims
1294,1022187,25187,63,9600,Personal Injury
1344,1010993,13993,81,9600,Third Party Car Insurance Claims
1162,1007623,10623,83,9960,Bodily Injury Claims
1027,1009975,12975,60,2316,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
241,1025485,28485,14,9500,Personal Injury
815,1018957,21957,75,9500,Reimbursement for Property Repairs
454,1007784,10784,1,9460,Loss of Value to Vehicle
457,1003548,6548,65,9460,Personal Injury
1316,1020889,23889,65,9460,Reimbursement for Property Repairs
599,1000443,3443,56,9450,Reimbursement for Property Repairs
856,1017765,20765,57,9450,Property Damage Claims
1084,1006496,47066,57,9450,Reimbursement for Property Repairs
351,1005012,8012,5,9440,Personal Injury
1284,1016060,19060,78,9440,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
931,1005343,8343,76,9360,Property Damage Claims
376,1026808,29808,61,9336,Reimbursement for Property Repairs
416,1000310,3310,19,9240,Personal Injury
1271,1001646,4646,64,9240,Property Damage Claims
358,1021071,24071,85,9200,Bodily Injury Claims
555,1011366,14366,85,9200,Third Party Car Insurance Claims
772,1011588,14588,26,9200,Injury by Uninsured or Underinsured Defendant
954,1004750,7750,71,9200,Personal Injury
63,1013327,16327,14,9120,Injury by Uninsured or Underinsured Defendant
133,1015684,18684,59,9120,Reimbursement for Property Repairs
820,1009409,12409,41,9120,Personal Injury
139,1027834,2218883,79,9100,Bodily Injury Claims
612,1002335,2215633,65,9030,Reimbursement for Property Repairs
524,1022058,25058,75,9000,Third Party Car Insurance Claims
1304,1005822,8822,75,9000,Bodily Injury Claims
982,1023118,26118,82,9960,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
846,1003497,2218992,45,8990,Personal Injury
222,1025182,28182,49,8960,Personal Injury
148,1005635,8635,84,8900,Third Party Car Insurance Claims
1265,1028557,2217311,78,8850,Third Party Car Insurance Claims
517,1008224,11224,76,8840,Third Party Car Insurance Claims
679,1001457,4457,77,8800,"Damage from impacts with animals (deer, etc.); note: a crash from swerving to avoid animals will likely fall under collision"
1211,1021612,49194,77,8800,Reimbursement for Property Repairs
